Summary Label,Avg Generation Cnt,Trimmed Generation Cnt,Avg Elapsed Time (milliseconds),Trimmed Elapsed Time (milliseconds),Population Size,Tournament Size,Max Generations,Initial Tree Height,Max Tree Height,Mutation Tree Height,Initial Generation Method,Reproduction Method,Input Training Data,Final Fitness Goal,Crossover Probability,Reproduction Probability,Mutation Probability
100,11.7,6.2625,180.86,114.4875,800,10,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,8.07,7.9375,122.79,119.5125,900,4,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,6.74,6.6875,111.17,111.525,900,6,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,6.25,6.15,116.45,113.9125,900,8,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,37.14,5.7125,546.43,119.5,900,10,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,7.78,7.8375,139.35,139.3375,1000,4,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,6.32,6.3625,123.59,124.675,1000,6,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,6.96,6.3,154.99,130.2625,1000,8,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,28.52,5.7375,471.48,131.5875,1000,10,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,239.76,80.3375,520.38,195.8875,100,4,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,2249.36,785.875,5084.1,1469.1875,100,6,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,4229.87,1580.25,6199.55,2635.3875,100,8,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,4215.38,1968.55,9832.37,4340.1625,100,10,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,39.19,17.2875,232.76,76.0875,200,4,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,406.42,36.075,1582.13,185.7625,200,6,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,766.47,124.1375,3298.22,494.9875,200,8,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,875.32,116.4875,2976.15,700.6,200,10,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,17.92,13.55,133.3,90.05,300,4,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,112.19,13.75,448.12,103.375,300,6,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,485.3,16.8125,4419.04,127.35,300,8,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,727.61,135.375,6341.98,1344.125,300,10,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,17.13,13.425,183.12,118.6625,400,4,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,61.03,10.7,420.24,100.9,400,6,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,105.4,11.4375,693.08,121.925,400,8,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,208.47,15.8625,4075.87,176.875,400,10,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,12.23,11.3375,140.94,122.8,500,4,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,54.07,10.0625,1534.55,117.725,500,6,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,288.76,8.4125,1933.18,112.8875,500,8,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,96.19,8.0,779.08,115.8125,500,10,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,11.46,9.9125,164.21,128.7125,600,4,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,17.48,8.0625,373.45,112.8125,600,6,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,47.5,8.3625,432.03,129.2375,600,8,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,90.41,7.775,1008.14,138.8,600,10,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,10.54,9.925,165.09,149.5125,700,4,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,7.92,7.575,132.48,123.75,700,6,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,7.97,7.8875,147.42,143.9375,700,8,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,175.82,7.75,1912.85,157.3125,700,10,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,9.04,8.85,158.92,153.525,800,4,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,25.01,7.3625,289.24,139.7125,800,6,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,7.47,6.9625,155.75,144.5875,800,8,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,12.35,6.45,375.88,146.9875,800,10,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,8.85,8.8,175.48,172.4625,900,4,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,6.78,6.825,144.55,144.4375,900,6,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,6.69,6.5,159.11,153.6625,900,8,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,7.59,5.975,222.58,155.0375,900,10,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,8.27,8.1,179.6,175.125,1000,4,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,7.28,7.05,175.34,165.9,1000,6,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,6.74,6.275,171.75,163.3125,1000,8,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,6.45,6.1875,191.75,178.7,1000,10,500000,4,10,2,RAMPED_FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,451.81,132.5125,435.04,166.15,100,4,500000,4,10,2,RAMPED_GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,3164.44,1781.9875,3329.72,1918.6875,100,6,500000,4,10,2,RAMPED_GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,9482.25,6756.3875,12805.14,9218.8625,100,8,500000,4,10,2,RAMPED_GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,7618.14,5062.4375,12188.13,8186.45,100,10,500000,4,10,2,RAMPED_GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
